Frame Count,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta,,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta
138,2.871302862,-0.407095856,-0.940527205,37.12009502,TRUE,TRUE,0.745595284,,2.455,0.48,0.566,32.905,TRUE,TRUE,0.19850789
138,2.85571565,-0.290450457,-1.101152291,37.54280521,TRUE,TRUE,0.352378555,,,,,,,,
138,2.850435535,-0.100020135,-1.181313555,37.47073479,TRUE,TRUE,0.858546804,,,,,,,,
138,2.777178729,-1.620902381,0.236626953,37.68880868,TRUE,TRUE,0.30145317,,,,,,,,
138,2.757096876,-1.123006004,-0.220995719,37.20188928,TRUE,TRUE,1.396016172,,,,,,,,
138,2.646004787,-0.220802153,0.822319991,34.96715948,FALSE,FALSE,0.38750754,,,,,,,,
138,2.636387406,-0.63805352,0.583015886,35.76526208,FALSE,TRUE,0.75184724,,,,,,,,
138,2.609435927,-0.655893653,0.218134853,36.13670973,TRUE,TRUE,0.845004561,,,,,,,,
138,2.607839964,-0.947419688,0.475874823,36.2412256,TRUE,TRUE,0.560448976,,,,,,,,
138,2.595292982,-0.117178087,-0.028083875,35.91209591,TRUE,TRUE,0.690612264,,,,,,,,
138,2.455095359,0.48036085,0.565870046,32.90469007,TRUE,TRUE,0.19850789,,,,,,,,
138,1.89168605,-1.878890658,1.170557502,32.6023635,TRUE,FALSE,0.59036844,,,,,,,,
,,,,,,,,,,,,,,,
139,2.92619957,0.537514581,1.249207694,32.13802722,TRUE,TRUE,0.186105219,,2.688,-0.255,1.448,35.089,FALSE,TRUE,0.366258598
139,2.884924695,0.382807375,1.484483776,32.69049277,TRUE,FALSE,0.500342569,,,,,,,,
139,2.87816819,0.288187603,1.587388951,32.97541215,TRUE,FALSE,0.444296199,,,,,,,,
139,2.864592372,0.69797691,1.975876436,33.95698375,FALSE,FALSE,1.032385922,,,,,,,,
139,2.687508573,-0.255453577,1.448136499,35.08933397,FALSE,TRUE,0.366258598,,,,,,,,
139,2.089948244,-2.029319064,2.097199483,31.92241418,TRUE,FALSE,0.632487248,,,,,,,,
,,,,,,,,,,,,,,,
140,3.031266717,0.882153476,1.614696879,36.45282189,TRUE,TRUE,0.396455964,,2.593,-0.511,1.111,33.166,TRUE,FALSE,0.645827926
140,3.019717938,0.933507047,1.480590714,36.79356162,TRUE,TRUE,0.404256208,,,,,,,,
140,2.977835959,1.28069782,1.936440105,35.76499587,FALSE,FALSE,0.72486559,,,,,,,,
140,2.963162575,1.507049384,2.126612119,35.46648065,FALSE,FALSE,0.7951028,,,,,,,,
140,2.954963068,0.96993208,1.8604364,35.12708313,FALSE,FALSE,0.23784663,,,,,,,,
140,2.952938028,1.046572406,1.869115892,35.33218729,FALSE,FALSE,0.593013079,,,,,,,,
140,2.949810025,0.883267265,1.777254122,35.40903007,FALSE,FALSE,0.475135354,,,,,,,,
140,2.944485601,1.25570655,2.040420155,35.1108019,FALSE,FALSE,1.162104081,,,,,,,,
140,2.593464758,-0.511436697,1.110921316,33.1660022,TRUE,FALSE,0.645827926,,,,,,,,
140,2.593705823,-0.459058024,1.214166033,33.44979384,TRUE,FALSE,0.287440889,,,,,,,,
140,2.570618892,0.217068753,1.331700959,33.14315424,TRUE,FALSE,0.328170394,,,,,,,,
140,2.431745746,1.435538176,1.247190249,33.14014114,TRUE,FALSE,0.4075795,,,,,,,,
,,,,,,,,,,,,,,,
141,2.870506143,-0.841755284,1.656751892,32.40579679,TRUE,FALSE,0.294032971,,2.652,0.497,1.673,35.906,FALSE,TRUE,0.513838097
141,2.75770871,-0.394016978,2.085128737,33.2190178,TRUE,FALSE,0.672448933,,,,,,,,
141,2.652279124,0.497094432,1.672516651,35.90565702,FALSE,TRUE,0.513838097,,,,,,,,
141,2.389214151,1.190125626,2.391494127,32.23101721,TRUE,FALSE,0.315243937,,,,,,,,
,,,,,,,,,,,,,,,
142,3.070621023,0.088519378,1.313638082,32.7717504,TRUE,FALSE,0.274954827,,2.511,-0.147,0.743,35.306,FALSE,TRUE,0.223504643
142,2.712950235,1.807549522,1.810345425,32.77461192,TRUE,FALSE,1.462182491,,,,,,,,
142,2.51412939,-0.171306016,0.71427162,35.48366296,FALSE,TRUE,0.334316805,,,,,,,,
142,2.510801099,-0.14700351,0.742779704,35.30587949,FALSE,TRUE,0.223504643,,,,,,,,
142,2.489906098,-0.779397115,1.26242626,35.36588841,FALSE,TRUE,0.334449992,,,,,,,,
142,2.485895368,0.450298778,0.477263458,35.27472453,FALSE,TRUE,0.461852101,,,,,,,,
142,1.944708534,2.290316916,0.951501995,34.96014597,FALSE,FALSE,1.132752419,,,,,,,,
,,,,,,,,,,,,,,,
143,1.939348059,0.520457979,-0.043661551,34.76497857,TRUE,TRUE,0.364671846,,1.938,0.655,-0.085,34.409,TRUE,FALSE,0.404540814
143,1.937704293,0.655366419,-0.085362907,34.40914693,TRUE,FALSE,0.404540814,,,,,,,,
143,1.915240375,0.391268105,0.239318448,33.92387612,TRUE,FALSE,1.442275529,,,,,,,,
143,1.908720672,0.234660401,0.309684078,34.40969083,TRUE,TRUE,0.994099221,,,,,,,,
143,1.743950089,-0.987229381,0.62309047,35.11324318,FALSE,FALSE,0.470906515,,,,,,,,
,,,,,,,,,,,,,,,
144,1.925527398,-0.200318843,0.79340554,35.00916065,FALSE,TRUE,0.409510367,,1.926,-0.2,0.793,35.009,FALSE,TRUE,0.409510367
144,1.90650094,-0.11563599,0.744755895,35.52709899,TRUE,TRUE,0.404800347,,,,,,,,
144,1.666180141,2.292401667,1.512113364,36.54294409,FALSE,FALSE,0.481884993,,,,,,,,
144,1.532467586,1.684214855,1.325251882,35.68579917,FALSE,FALSE,0.816936241,,,,,,,,
144,1.493376009,2.435892798,1.433560422,35.3497995,FALSE,FALSE,0.304041047,,,,,,,,
,,,,,,,,,,,,,,,
145,2.52036988,0.985696487,1.861849483,33.50459128,FALSE,FALSE,0.539628989,,2.193,1.204,1.712,35.422,FALSE,FALSE,0.231060245
145,2.508339168,1.562954786,2.092293677,33.76386015,FALSE,FALSE,1.450598998,,,,,,,,
145,2.478188174,1.60936271,1.860657202,33.19276386,FALSE,FALSE,1.122629833,,,,,,,,
145,2.23750682,1.837148387,1.548579425,36.31808235,FALSE,TRUE,1.047998232,,,,,,,,
145,2.209414155,1.24322225,1.595519607,35.87775102,FALSE,TRUE,0.389445668,,,,,,,,
145,2.193152788,1.204006856,1.712159163,35.42150799,FALSE,FALSE,0.231060245,,,,,,,,
145,2.142452459,1.90829049,1.814906362,35.38043397,FALSE,FALSE,0.23813419,,,,,,,,
145,1.453719931,0.006954582,-0.171810486,35.26888661,FALSE,TRUE,0.46395081,,,,,,,,
,,,,,,,,,,,,,,,
146,2.807120748,0.4867504,1.11551761,33.66116986,TRUE,FALSE,0.565868212,,2.593,0.685,0.961,35.717,FALSE,TRUE,0.324776053
146,2.783348487,0.195863146,0.927151472,33.28520498,TRUE,FALSE,0.77612221,,,,,,,,
146,2.781632743,0.431508333,0.976541682,33.16193231,TRUE,FALSE,0.273945657,,,,,,,,
146,2.776428225,0.724632977,1.400122332,34.22590711,FALSE,FALSE,0.60158578,,,,,,,,
146,2.593053627,0.684838766,0.961377161,35.71719275,FALSE,TRUE,0.324776053,,,,,,,,
146,2.542910659,0.650569942,1.644868091,36.07680768,FALSE,TRUE,1.234342241,,,,,,,,
146,2.542316847,0.670049502,1.748961928,35.92558011,FALSE,FALSE,0.153085991,,,,,,,,
,,,,,,,,,,,,,,,
147,3.415065485,0.103055479,1.947324233,33.98455854,FALSE,FALSE,0.211230305,,3.226,-0.064,1.609,35.647,FALSE,TRUE,0.267142913
147,3.226333074,-0.06359746,1.609461867,35.64666628,FALSE,TRUE,0.267142913,,,,,,,,
,,,,,,,,,,,,,,,
148,3.059635316,-0.232575858,1.211924343,33.17402693,TRUE,FALSE,0.576370713,,3.047,-1.435,0.928,35.737,FALSE,FALSE,0.480421025
148,3.047300829,-1.435143725,0.928042911,35.73715277,FALSE,FALSE,0.480421025,,,,,,,,
148,3.01069457,0.413816594,1.47464392,33.40601961,TRUE,FALSE,0.434066541,,,,,,,,
148,2.986027885,-1.187765935,0.661566126,36.73785322,FALSE,TRUE,0.468722042,,,,,,,,
148,2.729094674,-1.640305246,1.347727522,31.87809871,TRUE,FALSE,0.24077302,,,,,,,,
148,2.730079087,0.114698334,1.269064431,36.27263879,FALSE,TRUE,0.322826945,,,,,,,,
,,,,,,,,,,,,,,,
149,2.236299378,0.712215629,0.661744743,35.80231798,FALSE,TRUE,1.315045861,,2.193,0.588,0.564,35.283,FALSE,TRUE,0.242525235
149,2.231980217,0.902070314,0.96848885,35.39540871,FALSE,FALSE,0.229847775,,,,,,,,
149,2.193270208,0.587865054,0.563833815,35.28296343,FALSE,TRUE,0.242525235,,,,,,,,
149,2.164600938,0.022224823,0.068113572,36.10193345,TRUE,TRUE,1.236114412,,,,,,,,
149,2.137962932,1.14577495,0.576229245,36.66100562,TRUE,TRUE,0.368468132,,,,,,,,
149,2.131387057,0.550398829,0.099136383,36.61840227,TRUE,TRUE,0.415452683,,,,,,,,
149,1.971885479,-0.607799638,-0.122670775,35.00198414,FALSE,TRUE,0.349144388,,,,,,,,
,,,,,,,,,,,,,,,
150,2.031442053,1.365961587,1.664172375,33.04869103,FALSE,FALSE,0.729043511,,1.644,-0.698,-1.166,35.267,FALSE,TRUE,0.492938369
150,2.031719862,1.358347429,1.704741524,33.00026922,FALSE,FALSE,1.462998298,,,,,,,,
150,1.644143734,-0.697615677,-1.166149375,35.26675056,FALSE,TRUE,0.492938369,,,,,,,,
150,1.441614805,1.500551813,-0.249159145,35.32159484,FALSE,FALSE,0.298638866,,,,,,,,
,,,,,,,,,,,,,,,
151,2.428576169,-1.012203014,-0.337786765,35.5067938,FALSE,TRUE,0.213166178,,2.422,-1.087,-0.28,34.838,FALSE,FALSE,0.283888465
151,2.427109474,-1.253267848,-0.234429239,34.35151761,FALSE,FALSE,0.329050818,,,,,,,,
151,2.421739939,-1.087047111,-0.279931914,34.83803245,FALSE,FALSE,0.283888465,,,,,,,,
,,,,,,,,,,,,,,,
152,2.518374621,-0.816462607,0.549184936,35.16657405,FALSE,FALSE,0.33282384,,2.518,-0.816,0.549,35.167,FALSE,FALSE,0.33282384
,,,,,,,,,,,,,,,
153,2.545466307,0.553908051,-0.43446966,36.93982594,TRUE,TRUE,0.446904189,,2.326,0.367,0.223,34.803,FALSE,TRUE,0.209487999
153,2.542648427,0.611551366,-0.374151937,36.74149239,TRUE,TRUE,0.384702695,,,,,,,,
153,2.326067529,0.366635315,0.223345296,34.80288352,FALSE,TRUE,0.209487999,,,,,,,,
,,,,,,,,,,,,,,,
154,2.453868388,0.127996575,0.060570581,35.89157302,TRUE,TRUE,0.324629962,,2.454,0.128,0.061,35.892,TRUE,TRUE,0.324629962
154,1.843986247,-1.97619547,0.922446136,35.07410388,FALSE,FALSE,1.211144195,,,,,,,,
154,1.841585231,-2.027817809,0.916296285,35.19564146,FALSE,FALSE,0.581647514,,,,,,,,
,,,,,,,,,,,,,,,
155,2.667792559,-0.077830353,0.531303323,34.47606388,FALSE,TRUE,0.224422705,,2.664,-0.041,0.609,34.209,TRUE,FALSE,0.348737753
155,2.664009918,-0.041420997,0.608538123,34.20870256,TRUE,FALSE,0.348737753,,,,,,,,
,,,,,,,,,,,,,,,
156,2.220122494,0.041661923,0.842183693,33.59296457,TRUE,FALSE,0.293836036,,2.22,0.042,0.842,33.593,TRUE,FALSE,0.293836036
156,2.078668673,1.202947617,1.449076173,33.79447938,FALSE,FALSE,0.803637231,,,,,,,,
,,,,,,,,,,,,,,,
157,2.703723306,-0.503818385,1.249808322,32.16427242,TRUE,TRUE,0.1469826,,2.334,0.586,0.427,35.689,TRUE,TRUE,0.411120461
157,2.440857694,1.009191723,1.778964914,32.95079386,TRUE,FALSE,0.884358885,,,,,,,,
157,2.333684037,0.586248781,0.426618393,35.68894899,TRUE,TRUE,0.411120461,,,,,,,,
157,2.313455808,0.482202268,0.633167268,35.19957911,FALSE,TRUE,0.48020214,,,,,,,,
157,2.307027619,1.760017162,1.740109093,32.29052909,TRUE,FALSE,0.608125541,,,,,,,,
157,2.30445196,0.673729472,0.808436276,35.09081639,FALSE,TRUE,1.271892315,,,,,,,,
157,2.268257454,0.307048451,0.757893679,34.60613173,FALSE,TRUE,0.347550236,,,,,,,,
157,2.265075852,0.444726361,0.867434326,34.55764477,FALSE,TRUE,1.10362238,,,,,,,,
157,2.252475368,0.046065527,0.817547097,34.0326908,TRUE,FALSE,0.554929327,,,,,,,,
157,2.250589102,0.779815377,1.133882556,34.27616444,FALSE,FALSE,0.371639364,,,,,,,,
157,2.247083088,0.835763147,1.261433884,33.99793099,FALSE,FALSE,0.518264979,,,,,,,,
,,,,,,,,,,,,,,,
158,2.255300884,0.329267886,0.572190034,35.30466244,FALSE,TRUE,0.522586986,,2.219,0.074,0.566,34.793,TRUE,TRUE,0.470135258
158,2.22843233,0.33950834,0.448040032,36.1265213,TRUE,TRUE,0.304071161,,,,,,,,
158,2.218703302,0.073508765,0.566185687,34.79257586,TRUE,TRUE,0.470135258,,,,,,,,
158,2.067108797,1.068805661,1.340558815,34.23683447,FALSE,FALSE,0.582834839,,,,,,,,
158,2.059927807,0.743621486,1.218427809,33.69251437,TRUE,FALSE,1.570553813,,,,,,,,
,,,,,,,,,,,,,,,
159,2.128037302,0.002503466,0.527007687,35.22182304,TRUE,TRUE,0.409103199,,2.128,0.003,0.527,35.222,TRUE,TRUE,0.409103199
159,2.084344448,0.902924161,0.808754537,35.4366733,FALSE,TRUE,1.039456916,,,,,,,,
159,2.084550983,0.843228814,0.793187776,35.38914661,FALSE,TRUE,0.258903747,,,,,,,,
159,2.076725621,0.912798688,0.918985203,35.12080572,FALSE,TRUE,0.372983199,,,,,,,,
159,1.527511252,-2.478291605,1.274393554,35.13289303,FALSE,FALSE,0.124326449,,,,,,,,
,,,,,,,,,,,,,,,
160,2.6601952,0.213778837,0.489468359,36.10717677,TRUE,TRUE,0.138619621,,2.66,0.214,0.489,36.107,TRUE,TRUE,0.138619621
,,,,,,,,,,,,,,,
161,3.386624264,-0.252580722,0.01847801,33.03236818,TRUE,TRUE,0.608149823,,2.577,-0.598,-0.169,36,TRUE,TRUE,0.099792995
161,3.370731006,-0.28497515,0.324997415,32.64134155,TRUE,TRUE,0.686571415,,,,,,,,
161,2.577365825,-0.598435812,-0.169390246,35.99954657,TRUE,TRUE,0.099792995,,,,,,,,
161,2.525667841,1.109960529,1.067824373,35.11448011,FALSE,FALSE,0.703488353,,,,,,,,
161,2.188204755,1.407230013,0.811477043,36.79526893,FALSE,TRUE,0.258179989,,,,,,,,
161,2.088158444,-2.819297697,0.128578956,36.03217734,FALSE,FALSE,0.309370148,,,,,,,,
